author_gender,topic_id,mean_prevalence,ci_lower,ci_upper,n_novels
F,1,0.19051945639373008,0.15537624021391552,0.2316715917065703,69
F,2,0.10210717824499493,0.07718000670392398,0.13024507743941696,69
F,3,0.1049967463369168,0.07687652001346092,0.1378859051051301,69
F,4,0.11124206764203427,0.08247803859732578,0.14152993410708734,69
F,5,0.19288773088049294,0.14502674406258667,0.24591270060454404,69
F,6,0.0696529361299913,0.05298439495969283,0.08876770177606119,69
F,7,0.22859388437183964,0.18778165097235203,0.26842743815674963,69
M,1,0.1031290130039156,0.08057993260788851,0.12761819577122524,81
M,2,0.205012788413895,0.16643126842080905,0.2495044007953692,81
M,3,0.0974429837731319,0.07660589625085325,0.12081429071064943,81
M,4,0.18489818507397876,0.14385833473094775,0.22679507807664157,81
M,5,0.0931839121770182,0.0693726661522318,0.11950505109948348,81
M,6,0.17700447815814482,0.14668494991635994,0.20884778699059137,81
M,7,0.13932863939991572,0.11380551360128655,0.16562798423126648,81
