K,exclus,semcoh,heldout,residual,bound,lbound,em.its
3,8.09558040555642,-26.9946828760746,-8.34272759410448,2.54062719631765,-52052894.8613185,-52052893.069559,14
4,8.48916949997128,-30.5704469580501,-8.32069669740583,2.47640848334923,-51915875.7574055,-51915872.5793517,19
5,8.60223745913954,-30.2671044831421,-8.30040750936101,2.42816797364217,-51786360.6312988,-51786355.843807,38
6,8.71293674502373,-35.062374320604,-8.28682712262168,2.39497263644818,-51688944.8287722,-51688938.249521,25
7,8.92784223759906,-39.7032810421546,-8.27729713913549,2.37122706569775,-51622865.9883095,-51622857.4631481,32
8,9.02914203556929,-40.8226864273353,-8.26688616673069,2.32881488928634,-51545305.8724318,-51545295.2678289,27
9,9.1147440486881,-41.2583199953435,-8.25592254542859,2.31347177433126,-51478215.187774,-51478202.3859465,46
10,9.14297310845367,-41.3371151997034,-8.2504331946385,2.28336558112656,-51435903.6466871,-51435888.5422746,39
11,9.17959437009632,-46.5814453650552,-8.2435680212337,2.25934933842118,-51382413.9808496,-51382396.4785417,35
12,9.20685283362648,-42.1028272121379,-8.23819711971882,2.24586443096663,-51340899.4775926,-51340879.4903781,38
13,9.2294372864375,-44.8718753096593,-8.23127355064648,2.22761272472449,-51290194.0587109,-51290171.5065471,37
14,9.30419686074312,-44.8995565553989,-8.22517170447716,2.21381046876847,-51242046.4339777,-51242021.2427565,35
15,9.30909133001937,-43.3472131312452,-8.22210511813893,2.19423123318219,-51215668.3866415,-51215640.4873701,31
